json_path,latitude,longitude,Normalized_Lane_Width,Safety_Score,Left_Lookahead_Score,Right_Lookahead_Score,Left_Lane_Intensity_Score,Right_Lane_Intensity_Score,Lane_Visibility_Score,Left_Lane_Confidence,Right_Lane_Confidence,Local_Time
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000000.json,,,0.9632014988745785,82.69,77.11864406779661,57.20338983050848,100.0,0.0,64.48,0.9201070092739866,0.9173612748907634,2023-04-25 20:53:44.760
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000001.json,,,0.9580462790875772,85.44,77.11864406779661,73.30508474576271,100.0,26.62098049551924,73.06,0.9199447456873522,0.8689802485442402,2023-04-25 20:53:44.831
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000002.json,,,0.005555930437442361,48.45,83.05084745762711,74.15254237288136,100.0,24.19609910384818,74.92,0.8872526530995175,0.9382974638378178,2023-04-25 20:53:44.898
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000003.json,,,0.9608188353798947,85.38,77.11864406779661,73.72881355932203,100.0,23.247232472324722,72.68,0.9197589906470527,0.8675187969448407,2023-04-25 20:53:44.964
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000004.json,,,0.958775797684895,84.78,77.11864406779661,71.1864406779661,100.0,20.611491829204006,71.5,0.9192376983759731,0.8638592179768558,2023-04-25 20:53:45.030
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000005.json,,,0.9632014988745785,85.45,77.11864406779661,72.03389830508475,99.9472851871376,24.19609910384818,72.36,0.9312156775625439,0.8665306105871025,2023-04-25 20:53:45.097
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000006.json,,,0.963735900424243,85.23,83.05084745762711,69.91525423728814,100.0,19.609910384818132,72.64,0.8942963745132692,0.868308559221928,2023-04-25 20:53:45.211
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000007.json,,,0.12906835368971403,50.87,77.11864406779661,83.89830508474576,99.20927780706378,100.0,84.2,0.9339579491999619,0.26919704509097064,2023-04-25 20:53:45.278
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000008.json,,,0.9664246858491891,85.46,83.05084745762711,73.30508474576271,100.0,15.445440168687401,73.02,0.8946586259154183,0.865042458177729,2023-04-25 20:53:45.343
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000009.json,,,0.9664246858491891,83.75,82.20338983050848,61.440677966101696,100.0,0.0,67.2,0.8942013294741994,0.9267423314537317,2023-04-25 20:53:45.410
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000010.json,,,0.9651914246658576,85.42,82.20338983050848,72.03389830508475,100.0,21.66578808645229,73.27,0.8848152543896148,0.865875300804329,2023-04-25 20:53:45.477
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000011.json,,,0.9651914246658576,85.45,83.05084745762711,71.61016949152543,100.0,18.397469688982603,72.98,0.8956447760881705,0.869337531000135,2023-04-25 20:53:45.543
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000012.json,,,0.004630790503733703,49.49,76.27118644067797,80.50847457627118,100.0,40.16868740115972,77.26,0.9170019174140611,0.9232941230094522,2023-04-25 20:53:45.609
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000013.json,,,0.9614511727365876,84.28,76.27118644067797,69.0677966101695,100.0,14.022140221402212,69.68,0.9233081529094754,0.8719657642796643,2023-04-25 20:53:45.675
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000014.json,,,0.010495267461876068,47.52,76.27118644067797,74.15254237288136,94.14865577227201,15.55086979441223,70.94,0.9317085482222819,0.9405611628430047,2023-04-25 20:53:45.742
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000015.json,,,0.9667862332768238,84.69,76.27118644067797,75.42372881355932,92.04006325777544,12.071692145492884,70.11,0.9353394926309251,0.8618649628587504,2023-04-25 20:53:45.809
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000016.json,,,0.9632014988745785,85.02,75.42372881355932,72.03389830508475,100.0,22.98365840801265,71.61,0.9178629885066485,0.8671603699952042,2023-04-25 20:53:45.874
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000017.json,,,0.963735900424243,79.14,75.42372881355932,72.03389830508475,0.0,24.037954665260937,56.78,0.9183632082753231,0.8697723004970354,2023-04-25 20:53:45.940
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000018.json,,,0.9632014988745785,84.35,74.57627118644068,69.49152542372882,100.0,17.60674749604639,69.81,0.9194346065877288,0.8701918084796127,2023-04-25 20:53:46.006
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000019.json,,,0.9632014988745785,85.14,74.57627118644068,72.03389830508475,100.0,24.934106483921983,71.69,0.9202389001753565,0.8731772282058632,2023-04-25 20:53:46.073
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000020.json,,,0.007959004828008494,47.74,74.57627118644068,78.8135593220339,78.38692672641012,34.686346863468636,72.24,0.9149085214629977,0.9371857099578299,2023-04-25 20:53:46.144
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000021.json,,,0.9667862332768238,78.56,73.72881355932203,71.1864406779661,0.0,18.977332630469164,55.22,0.9165946955774712,0.8634750162688433,2023-04-25 20:53:46.242
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000022.json,,,0.9667862332768238,78.74,73.72881355932203,71.1864406779661,0.0,22.509225092250922,55.74,0.9155375126701523,0.8619662925980457,2023-04-25 20:53:46.307
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000023.json,,,0.967984015400925,78.47,72.88135593220339,69.0677966101695,0.0,24.723247232472325,55.14,0.9122860348656746,0.8573045223238215,2023-04-25 20:53:46.374
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000024.json,,,0.9691832357263233,75.73,72.03389830508475,52.96610169491526,0.0,0.0,46.65,0.9117660112664271,0.9189335982227175,2023-04-25 20:53:46.440
/media/vsi-dev/Lacie_2/texas_data/campaign/processed_json/segments/scene_1/part_2023-04-25__20-53-44/000025.json,,,0.9692332344763441,84.12,71.1864406779661,69.0677966101695,85.97785977859779,33.05218766473379,68.84,0.9268333941906622,0.8542247973921039,2023-04-25 20:53:46.506
